ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
18	cosine	24.0	16.0	22.0	1478.1303045837494	180.3562730887397	64.0	94.0	1952.71357851	1238.52568504	714.1878934639999	1.57664358688	1.22246879784	0.5882989111939285	2.8186150392135097e-05	0.0018602859258809164	0.0018602859258809164	0.0018602859258809164	0.01981523631008167
19	cosine	24.0	2.0	6.0	3098.089901897137	387.39503368195665	92.0	54.0	4402.42775506	2619.53670055	1782.89105451	1.6806131229799999	1.18616164036	0.32903438562001897	0.012142999793130993	0.8014379863466454	0.2887112887112887	0.2757090036488909	0.5806697203827939
20	cosine	24.0	14.0	22.0	321.79610786645463	65.45682488521629	62.0	92.0	447.481774472	208.983607878	238.49816659400003	2.1412290610599998	1.37470897836	0.7427273753823348	1.8408169439830922e-07	1.2149391830288408e-05	1.2149391830288408e-05	1.2149391830288408e-05	0.0009689999748317336
21	cosine	24.0	22.0	2.0	7335.626439228411	597.4861424680357	94.0	64.0	8630.94805018	6539.4787702	2091.46927999	1.31982201541	1.11969800275	0.28679571920704017	0.02479940356875401	1.6367606355377644	0.4675324675324675	0.45099229154729076	0.6866851113298932
22	cosine	24.0	12.0	0.0	5553.147403388885	438.02875238036484	58.0	48.0	6419.85905202	4737.37541348	1682.48363853	1.3551510048700002	1.12982295453	0.3616851819772791	0.006641277563050664	0.4383243191613438	0.17782217782217782	0.17562637146928284	0.45986348268239063
23	cosine	24.0	18.0	16.0	28.50287599763769	2.8012260573728645	52.0	62.0	36.2219976425	21.3586503306	14.8633473119	1.6958935645200002	1.1147599853799999	0.288938436764888	0.02396001683241137	1.5813611109391499	0.46153846153846156	0.4410585767956128	0.6866851113298932
24	cosine	24.0	12.0	18.0	951.6172463949473	39.92809824854137	84.0	90.0	1010.0304570000001	870.0932201669999	139.937236833	1.16083016577	1.04826819054	0.3897164176493664	0.0038151622640447977	0.2518007094269567	0.12087912087912088	0.11418766501439515	0.36757553118919584
25	cosine	24.0	22.0	18.0	4126.819171077927	320.7675211560869	94.0	64.0	4566.3779522	3430.92817305	1135.44977914	1.33094536576	1.1383619645899998	0.5267472701088866	0.00015540488229038397	0.010256722231165341	0.003996003996003996	0.003996003996003996	0.03349465547856969
26	cosine	24.0	4.0	6.0	18118.8100229158	1129.1021510228472	76.0	60.0	20942.0424647	16268.008762000001	4674.03370271	1.2873144323399999	1.08063258918	0.25927526439921084	0.037948748625126726	2.504617409258364	0.5874125874125874	0.5841318029324589	0.759292415286699
27	cosine	24.0	18.0	20.0	346.32473092375517	58.351112469064375	56.0	76.0	502.321788892	198.526992608	303.794796283	2.53024428715	1.13599155561	0.32477853075510776	0.013093115992743426	0.8641456555210661	0.3096903096903097	0.29113800248668614	0.5990936533192512
28	cosine	24.0	18.0	20.0	573.0569106933333	132.81941516658685	56.0	92.0	854.8361275489999	303.976441732	550.859685817	2.8121788737199997	1.2104321207100002	0.3395411912439763	0.010049245916082774	0.663250230461463	0.2517482517482518	0.23997240261196753	0.5419639599702208
29	cosine	24.0	18.0	8.0	1889.0753375107265	338.2367100776381	90.0	76.0	2679.79631323	1204.56751492	1475.22879831	2.22469581823	1.27561816282	0.4073730529465734	0.002644516177854241	0.1745380677383799	0.0969030969030969	0.08545909917136096	0.31013839131107546
30	cosine	24.0	12.0	0.0	308.29212551791665	43.81878416667904	84.0	56.0	404.604656599	240.391384684	164.213271915	1.68310797465	1.31703584108	0.4724051356437931	0.0006101492706621064	0.040269851863699024	0.02097902097902098	0.02097902097902098	0.11850209411185021
31	cosine	24.0	8.0	20.0	2114.468406911833	297.6714264492522	80.0	92.0	2482.10883891	1057.33118465	1424.77765426	2.34752258795	1.1521769912200002	0.5248139330753153	0.00016351904726201873	0.010792257119293236	0.003996003996003996	0.003996003996003996	0.03349465547856969
