"","pVal","phase","peak.shape","period","qvalue"
"45",0.146035970502084,14,10,20,0.396338074457261
"46",0.00165799736218493,22,10,22,0.0131483291131799
"47",0.639441972731694,2,10,22,1
"48",0.00988264620174404,10,10,26,0.051029055903803
"49",0.00167920855380361,22,18,24,0.0132760550688544
"50",0.83236122141801,20,12,20,1
"51",0.68172875032639,2,6,20,1
"52",0.0511544654806875,24,12,24,0.179799853912092
"53",0.0216730121618353,24,20,28,0.0939489393746664
"54",0.132302844360126,10,10,26,0.367439345229345
"55",0.00378480777160836,4,18,24,0.0247039697242872
"56",0.24948965774485,8,8,26,0.592250260402133
"57",0.884076509035247,20,8,20,1
"58",0.000834162150165451,10,8,24,0.0078672940045016
"59",0.00345865348775727,6,8,20,0.0231664471267304
"60",0.00416372124000625,8,12,22,0.0264994899885589
"61",0.000462432071280394,10,12,24,0.00502884824646314
"62",0.521186562271923,8,14,20,1
"63",0.0027103543600434,28,16,28,0.0191284941459948
"64",6.64235616404086e-07,20,12,20,3.24575831281514e-05
"65",0.00487320776200828,4,12,28,0.0297289445227686
"66",0.000220729277749587,16,8,24,0.00293976607831345
"67",0.0972274636908368,8,6,20,0.292149606179146
"68",6.63742180400649e-05,22,10,24,0.00116583703765316
"69",0.554902198244526,22,18,24,1
"70",0.0899788461382495,18,14,20,0.275710303292961
"71",0.0992776190172557,14,10,24,0.296812312557925
"72",0.00897623157352002,10,8,24,0.047372566346401
"73",0.587697167618002,12,16,28,1
"74",0.0689648141788598,22,12,26,0.225896795736202
"75",0.0249064819351621,6,10,24,0.10455873215211
"76",0.983514601594683,16,16,28,1
"77",0.000494226660951523,16,8,28,0.00530540654236888
"78",0.00803808459265419,20,8,20,0.0436303324287037
"79",0.152805794748396,10,6,22,0.410171553793399
"80",0.00299611057052721,16,12,28,0.0206556553445498
"81",0.221318194727444,16,16,28,0.542494187232736
"82",0.00173971674246126,16,12,20,0.0136578139241812
"83",1.59510660419915e-07,18,16,26,1.06468184557981e-05
"84",0.119895242645275,18,6,20,0.341706906226482
"85",3.25782356785467e-05,20,10,20,0.000668500662116528
"86",1,10,14,20,1
"87",0.000654883550476089,24,18,24,0.00656247891206247
"88",0.0531124638098909,2,14,22,0.184988087871061
"89",0.152638183271538,8,12,20,0.409985635737511
"90",0.0414403538285267,20,16,26,0.15342009028406
"91",0.00121967622045788,4,6,22,0.0103693207430634
"92",0.945820255279198,18,10,20,1
"93",0.105673624691463,10,8,28,0.31117361676276
"94",0.0143738707488759,20,18,24,0.0684603487759971
"95",0.332221704003885,28,10,28,0.73600790615989
"96",0.00016934609011727,20,10,26,0.0024148713831318
"97",0.625220656375118,20,10,20,1
"98",0.0424159734955448,26,14,28,0.156383892846487
"99",0.0145345171402387,12,10,24,0.068956248617536
"100",1,12,8,20,1
"101",0.063973950294245,20,16,26,0.213405767505956
"102",0.958746650998074,26,12,28,1
"103",0.0190579877229625,26,18,28,0.0853039350262595
"104",0.0346456328881837,6,14,24,0.133893165914594
"105",0.000276335611700328,8,8,28,0.00348617441200903
"106",0.999999999932504,10,8,20,1
"107",0.0112201543557684,22,18,24,0.0563078853825199
"108",0.0317875384870176,4,12,22,0.125484519039976
"109",0.0255270075326079,16,8,24,0.106307278122809
"110",0.0246912957526797,18,10,20,0.103969476324247
"111",0.115949373480086,10,16,28,0.333464261586551
"112",1,4,12,26,1
"113",0.477909447636588,24,10,24,0.959809788364086
"114",0.527818896456401,10,12,28,1
"115",0.754762474498068,14,14,20,1
"116",0.990567228871619,6,12,28,1
"117",0.933745784099881,2,10,20,1
"118",0.84737108229094,8,8,26,1
"119",0.530401252063578,26,18,28,1
"120",0.971170981287939,12,6,20,1
"121",0.229770034683197,2,18,26,0.554837623816966
"122",0.952122435614157,2,6,20,1
"123",1,18,12,20,1
"124",0.849637818835841,22,12,26,1
"125",0.977927030318902,4,8,20,1
"126",8.60932288526938e-05,16,6,26,0.00142418243390448
"127",0.0183110662265758,22,18,28,0.0828166718008861
"128",0.961313381286858,10,6,26,1
"129",0.98304600995721,12,8,20,1
"130",0.260595629505579,22,12,24,0.611446330693578
"131",0.00832419844310586,16,8,24,0.0448599541793279
"132",0.00282184816526728,16,8,22,0.0196711444564285
"133",0.0103976785866044,18,8,22,0.0532487176101861
"134",0.0101655692232555,10,14,24,0.0522311457296769
"135",0.774139808220775,16,8,28,1
"136",0.00228336933581104,10,8,28,0.0169069371898478
"137",9.34691735115342e-08,20,16,26,6.6416220678139e-06
"138",0.000330208312097788,18,12,24,0.00394797815592251
"139",8.2882429724244e-08,14,14,24,6.02632364029881e-06
"140",0.000765210815259058,26,18,28,0.00737835501590577
"141",0.00894572247741454,20,10,24,0.0473045265549879
"142",7.93173445075762e-07,16,10,24,3.75735875155965e-05
"143",0.0389076054860762,18,6,20,0.14606424440636
"144",0.973238838989104,24,16,24,1
"145",0.990894953527417,20,14,26,1
"146",1,8,12,20,1
"147",0.00019795367492271,2,14,24,0.0027174628524516
"148",0.0191680339043518,14,10,22,0.085765807516216
"149",0.907828511841672,26,18,26,1
"150",0.999999999900572,2,18,26,1
"151",0.956364524984678,18,6,20,1
"152",0.945158856692886,10,10,24,1
"153",0.305276366543076,18,10,20,0.693386531054796
"154",0.000188662979342219,8,8,20,0.00261576410161174
"155",0.19834409854754,10,12,26,0.49869145485234
"156",0.483783599062003,24,12,24,0.968961833739496
"157",0.00117957547598577,24,20,28,0.0101169721801385
"158",0.00099211628359241,10,14,20,0.00895841605964381
"159",0.948272846944292,22,12,26,1
"160",2.54732102972559e-06,4,16,24,9.15425195337592e-05
"161",0.00105120272016742,10,14,28,0.00937684822996701
"162",0.535169067801202,22,18,24,1
"163",0.00475888030718111,22,12,24,0.0292167683463952
"164",0.0378539129834296,6,16,26,0.143237832305831
"165",6.21531733495439e-06,16,18,24,0.000193355120872984
"166",8.97501946047174e-05,6,12,24,0.00146721037088444
"167",0.483614045347802,4,6,20,0.968832551378182
"168",0.000567720229479363,20,16,26,0.00589475629440742
"169",0.115237738153432,26,18,28,0.331828141109874
"170",0.959246354506045,4,18,24,1
"171",0.0486098839936445,16,14,20,0.17274603766319
"172",0.046797495229341,8,8,24,0.168078539729506
"173",0.000356339905141498,18,16,26,0.00416910859710251
"174",0.00125022020606711,16,10,22,0.0105643607412671
"175",0.0187597940886629,6,16,26,0.0842103319715785
"176",0.577219919329944,14,8,20,1
"177",0.260508032173532,4,14,28,0.611398081443059
"178",6.9109439835171e-08,10,8,26,5.33507811468302e-06
"179",0.00490430650750315,14,10,24,0.029874942612194
"180",0.962475374965165,6,12,28,1
"181",1.59151796457321e-05,4,6,22,0.000383497565798701
"182",0.446682548864765,22,18,24,0.913526076222854
"183",0.402775870870982,22,18,24,0.846858614847427
"184",0.338733632398224,10,10,20,0.74699397051176
"185",0.130270485219445,22,10,24,0.362842469522134
"186",0.476526211641648,24,16,24,0.957493059574301
"187",4.3197084228069e-06,18,6,26,0.000141790744187987
"188",1,12,14,26,1
"189",0.127495025576429,4,12,22,0.356860516978251
"190",0.97699422696026,22,16,24,1
"191",0.0015052408938061,12,12,24,0.0121616750763546
"192",1.1855405789479e-05,18,14,26,0.00031213411537521
"193",0.061786220640314,6,10,28,0.207324517125776
"194",0.935423850976736,20,10,24,1
"195",0.591550395766562,8,10,20,1
"196",0.317576783235265,12,12,24,0.713847412081974
"197",0.139102507638572,8,12,28,0.381913492980896
"198",0.0585140324126862,10,12,26,0.198744293686326
"199",0.000283075504668628,22,14,26,0.00352604239361126
"200",0.781875403829842,8,8,28,1
"201",0.0114331152304261,2,8,20,0.0571701475696554
"202",0.116791850152491,10,8,28,0.335461386772406
"203",0.028755413577361,24,20,28,0.116493424748454
"204",0.00735477089522015,16,6,24,0.040788809230875
"205",0.000247656234073341,8,8,24,0.0031896898695378
"206",0.00186814053025769,2,8,24,0.0144931547589347
"207",0.741059182459037,10,10,20,1
"208",1.1636781835628e-06,22,12,24,5.08917969859229e-05
"209",0.0787154179710945,16,12,26,0.25035987211254
